site;lat;lon;year;month;tmean;prec
b1;50,07;10,44;1891;7;15,6;101
b1;50,07;10,44;1891;8;14,4;55
b1;50,07;10,44;1891;9;12,8;43
b1;50,07;10,44;1891;10;9,1;39
b1;50,07;10,44;1891;11;2;53
b1;50,07;10,44;1891;12;0,7;90
b1;50,07;10,44;1892;1;-2,2;56
b1;50,07;10,44;1892;2;0,1;49
b1;50,07;10,44;1892;3;-0,1;24
b1;50,07;10,44;1892;4;6,7;21
b1;50,07;10,44;1892;5;11,9;41
b1;50,07;10,44;1892;6;15,1;75
b1;50,07;10,44;1892;7;15,6;40
b1;50,07;10,44;1892;8;18,1;45
b1;50,07;10,44;1892;9;13,1;55
b1;50,07;10,44;1892;10;6,4;68
b1;50,07;10,44;1892;11;2,4;17
b1;50,07;10,44;1892;12;-3,1;52
b1;50,07;10,44;1893;1;-9,1;54
b1;50,07;10,44;1893;2;1,7;76
b1;50,07;10,44;1893;3;4;29
b1;50,07;10,44;1893;4;8,5;7
b1;50,07;10,44;1893;5;12,4;32
b1;50,07;10,44;1893;6;15,9;44
b1;50,07;10,44;1893;7;17,1;108
b1;50,07;10,44;1893;8;16,4;30
b1;50,07;10,44;1893;9;11,8;66
b1;50,07;10,44;1893;10;9,1;101
b1;50,07;10,44;1893;11;1,2;67
b1;50,07;10,44;1893;12;-1,2;46
b1;50,07;10,44;1894;1;-2,8;31
b1;50,07;10,44;1894;2;1,4;54
b1;50,07;10,44;1894;3;4,2;33
b1;50,07;10,44;1894;4;9,4;48
b1;50,07;10,44;1894;5;10,8;43
b1;50,07;10,44;1894;6;14;88
b1;50,07;10,44;1894;7;17,3;98
b1;50,07;10,44;1894;8;15,2;74
b1;50,07;10,44;1894;9;10,3;88
b1;50,07;10,44;1894;10;7,8;117
b1;50,07;10,44;1894;11;4;26
b1;50,07;10,44;1894;12;-0,5;62
b1;50,07;10,44;1895;1;-5,5;64
b1;50,07;10,44;1895;2;-8,3;24
b1;50,07;10,44;1895;3;0,4;55
b1;50,07;10,44;1895;4;8,1;49
b1;50,07;10,44;1895;5;11,6;77
b1;50,07;10,44;1895;6;15,5;52
b1;50,07;10,44;1895;7;17;54
b1;50,07;10,44;1895;8;15,9;51
b1;50,07;10,44;1895;9;14,9;15
b1;50,07;10,44;1895;10;6,4;69
b1;50,07;10,44;1895;11;4,5;75
b1;50,07;10,44;1895;12;-0,6;95
b1;50,07;10,44;1896;1;-1,7;43
b1;50,07;10,44;1896;2;-1;12
b1;50,07;10,44;1896;3;4,9;69
b1;50,07;10,44;1896;4;5,4;71
b1;50,07;10,44;1896;5;10,7;19
b1;50,07;10,44;1896;6;16,2;114
b1;50,07;10,44;1896;7;16,3;95
b1;50,07;10,44;1896;8;13,6;82
b1;50,07;10,44;1896;9;12,1;75
b1;50,07;10,44;1896;10;7,9;53
b1;50,07;10,44;1896;11;1;18
b1;50,07;10,44;1896;12;-1,4;33
b1;50,07;10,44;1897;1;-3;41
b1;50,07;10,44;1897;2;1,1;71
b1;50,07;10,44;1897;3;4,8;52
b1;50,07;10,44;1897;4;6,9;50
b1;50,07;10,44;1897;5;10,3;82
b1;50,07;10,44;1897;6;16,6;64
b1;50,07;10,44;1897;7;16,6;48
b1;50,07;10,44;1897;8;16,5;93
b1;50,07;10,44;1897;9;11,8;107
b1;50,07;10,44;1897;10;6,8;26
b1;50,07;10,44;1897;11;1,5;31
b1;50,07;10,44;1897;12;0,1;48
b1;50,07;10,44;1898;1;0,6;38
b1;50,07;10,44;1898;2;0,5;65
b1;50,07;10,44;1898;3;2,6;60
b1;50,07;10,44;1898;4;7;64
b1;50,07;10,44;1898;5;11;106
b1;50,07;10,44;1898;6;14,5;86
b1;50,07;10,44;1898;7;14;78
b1;50,07;10,44;1898;8;17,5;60
b1;50,07;10,44;1898;9;12,4;28
b1;50,07;10,44;1898;10;9;52
b1;50,07;10,44;1898;11;3,8;20
b1;50,07;10,44;1898;12;2;47
b1;50,07;10,44;1899;1;1,3;74
b1;50,07;10,44;1899;2;0,9;34
b1;50,07;10,44;1899;3;1,9;17
b1;50,07;10,44;1899;4;6,7;75
b1;50,07;10,44;1899;5;10,7;66
b1;50,07;10,44;1899;6;14,4;63
b1;50,07;10,44;1899;7;16,5;72
b1;50,07;10,44;1899;8;16,3;28
b1;50,07;10,44;1899;9;12;112
b1;50,07;10,44;1899;10;6,7;38
b1;50,07;10,44;1899;11;5,4;39
b1;50,07;10,44;1899;12;-4,2;44
b1;50,07;10,44;1900;1;0,5;87
b1;50,07;10,44;1900;2;1,1;63
b1;50,07;10,44;1900;3;0;37
b1;50,07;10,44;1900;4;6,1;47
b1;50,07;10,44;1900;5;10,3;65
b1;50,07;10,44;1900;6;15,8;89
b1;50,07;10,44;1900;7;17,8;102
b1;50,07;10,44;1900;8;15,5;72
b1;50,07;10,44;1900;9;12,8;35
b1;50,07;10,44;1900;10;7,4;80
b1;50,07;10,44;1900;11;4,3;40
b1;50,07;10,44;1900;12;1,8;71
b1;50,07;10,44;1901;1;-5,3;59
b1;50,07;10,44;1901;2;-5,4;45
b1;50,07;10,44;1901;3;1,9;65
b1;50,07;10,44;1901;4;7,7;61
b1;50,07;10,44;1901;5;12,7;46
b1;50,07;10,44;1901;6;15,7;60
b1;50,07;10,44;1901;7;17,7;98
b1;50,07;10,44;1901;8;15,6;80
b1;50,07;10,44;1901;9;12,6;85
b1;50,07;10,44;1901;10;8;104
b1;50,07;10,44;1901;11;2,1;40
b1;50,07;10,44;1901;12;0,5;63
b1;50,07;10,44;1902;1;2,3;48
b1;50,07;10,44;1902;2;-0,5;36
b1;50,07;10,44;1902;3;3,3;76
b1;50,07;10,44;1902;4;8,1;18
b1;50,07;10,44;1902;5;8,2;90
b1;50,07;10,44;1902;6;15,1;62
b1;50,07;10,44;1902;7;15,7;58
b1;50,07;10,44;1902;8;14,6;78
